jenis_kelamin;rentang_usia;status_kawin;partisipasi_sekolah;jenjang_pendidikan;ijazah_tertinggi;mengangur
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;46-55;cerai mati;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
perempuan;26-35;cerai hidup;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;56-65;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;46-55;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki; 12-15;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;M alliyah;SMA/sederajat;TIDAK
perempuan;46-55;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;cerai hidup;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki; 12-15;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;46-55;cerai mati;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
perempuan;26-35;cerai hidup;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;26-35;cerai hidup;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
perempuan;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;M alliyah;SMA/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;46-55;cerai mati;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
laki laki;26-35;belum kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
laki laki;26-35;belum kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
perempuan;56-65;cerai mati;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;M idbtidaiyah;tidak punya;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
perempuan;26-35;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;56-65;cerai mati;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
perempuan;56-65;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
perempuan;26-35;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;46-55;cerai mati;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;M alliyah;SMA/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
perempuan;46-55;cerai hidup;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;46-55;cerai hidup;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;56-65;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan; 12-15;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan; 12-15;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
perempuan;56-65;cerai mati;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
perempuan;46-55;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;46-55;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;M alliyah;SMA/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB0;D4/S1;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki; 12-15;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
laki laki;26-35;cerai hidup;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki; 12-15;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;17-25;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;17-25;kawin;tidak bersekolah lagi;SMP/SMPLB;SD/sederajat;YA
perempuan;46-55;cerai mati;tidak bersekolah lagi;M idbtidaiyah;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
perempuan;26-35;cerai hidup;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
perempuan;56-65;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;M idbtidaiyah;tidak punya;YA
perempuan;56-65;kawin;tidak bersekolah lagi;M idbtidaiyah;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
perempuan;56-65;cerai mati;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;17-25;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;cerai mati;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;17-25;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;56-65;cerai mati;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;46-55;cerai mati;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;56-65;cerai mati;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;cerai mati;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;26-35;cerai hidup;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;17-25;belum kawin;tidak bersekolah lagi;M alliyah;SMA/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;46-55;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki; 12-15;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki; 12-15;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;26-35;cerai hidup;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB0;D1/D2/D3;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan; 12-15;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan; 12-15;belum kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
laki laki;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;17-25;belum kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;YA
perempuan;17-25;cerai hidup;tidak bersekolah lagi;M idbtidaiyah;tidak punya;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;56-65;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;TIDAK
laki laki;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;46-55;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SD/SLB;tidak punya;YA
perempuan;56-65;kawin;tidak/belum pernah sekolah;tidak sekolah;tidak punya;TIDAK
laki laki;56-65;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;TIDAK
perempuan;46-55;kawin;tidak bersekolah lagi;M idbtidaiyah;SD/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;46-55;cerai hidup;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;TIDAK
perempuan;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;SD/SLB;SD/sederajat;TIDAK
perempuan;26-35;kawin;tidak bersekolah lagi;SMP/SMPLB;SMP/sederajat;YA
laki laki;17-25;belum kawin;tidak bersekolah lagi;SMA/SMK/SMALB;SMA/sederajat;YA
laki laki;26-35;kawin;tidak bersekolah lagi;M tsanawiyah;SMP/sederajat;TIDAK
